ticker,cik,10-K #1 Filing Date,10-K #1 Period,10-K #2 Filing Date,10-K #2 Period,10-Q #1 Filing Date,10-Q #1 Period,10-Q #2 Filing Date,10-Q #2 Period,10-Q #3 Filing Date,10-Q #3 Period,10-Q #4 Filing Date,10-Q #4 Period,10-Q #5 Filing Date,10-Q #5 Period,10-Q #6 Filing Date,10-Q #6 Period
fcx,0000831259,2020-02-14,2019-12-31,2019-02-15,2018-12-31,2020-05-07,2020-03-31,2019-11-06,2019-09-30,2019-08-06,2019-06-30,2019-05-07,2019-03-31,2018-11-09,2018-09-30,2018-08-08,2018-06-30
gps,0000039911,2020-03-17,2020-02-01,2019-03-19,2019-02-02,2020-06-09,2020-05-02,2019-11-27,2019-11-02,2019-08-30,2019-08-03,2019-05-31,2019-05-04,2018-11-30,2018-11-03,2018-08-31,2018-08-04
grmn,0001121788,2020-02-19,2019-12-28,2019-02-20,2018-12-29,2020-04-29,2020-03-28,2019-10-30,2019-09-28,2019-07-31,2019-06-29,2019-05-01,2019-03-30,2018-10-31,2018-09-29,2018-08-01,2018-06-30
it,0000749251,2020-02-19,2019-12-31,2019-02-22,2018-12-31,2020-05-07,2020-03-31,2019-10-31,2019-09-30,2019-07-30,2019-06-30,2019-05-07,2019-03-31,,,,
gd,0000040533,2020-02-10,2019-12-31,2019-02-13,2018-12-31,2020-04-29,2020-03-29,2019-10-23,2019-09-29,2019-07-24,2019-06-30,2019-04-24,2019-03-31,2018-10-24,2018-09-30,2018-07-25,2018-07-01
ge,0000040545,2020-02-24,2019-12-31,2019-02-26,2018-12-31,2020-04-29,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-04-30,2019-03-31,2018-10-30,2018-09-30,2018-07-27,2018-06-30
gis,0000040704,2019-06-28,2019-05-26,2018-06-29,2018-05-27,2020-03-18,2020-02-23,2019-12-18,2019-11-24,2019-09-18,2019-08-25,2019-03-20,2019-02-24,2018-12-19,2018-11-25,2018-09-18,2018-08-26
gm,0001467858,2020-02-05,2019-12-31,2019-02-06,2018-12-31,2020-05-06,2020-03-31,2019-10-29,2019-09-30,2019-08-01,2019-06-30,2019-04-30,2019-03-31,2018-10-31,2018-09-30,2018-07-25,2018-06-30
gpc,0000040987,2020-02-21,2019-12-31,2019-02-25,2018-12-31,2020-05-06,2020-03-31,2019-10-18,2019-09-30,2019-07-19,2019-06-30,2019-04-19,2019-03-31,2018-10-22,2018-09-30,2018-07-25,2018-06-30
gild,0000882095,2020-02-25,2019-12-31,2019-02-26,2018-12-31,2020-05-06,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-08,2019-03-31,2018-11-06,2018-09-30,2018-08-06,2018-06-30
